id,name,description,PerkType,icon_url,ConditionText,CompatibleEquipment,ExclusiveLabels,ExclusiveLabel,CraftModItem,GeneratedLabel
perkid_gem_lightningward4,Lightning Ward IV,+6% Lightning Damage Absorption. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/topazcutt4.png,,,,,,
perkid_gem_arcaneward4,Arcane Ward IV,+6% Arcane Damage Absorption. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/sapphirecutt4.png,,,,,,
perkid_gem_iceward4,Ice Ward IV,+6% Ice Damage Absorption. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/aquamarinecutt4.png,,,,,,
perkid_gem_natureward4,Nature Ward IV,+6% Nature Damage Absorption. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/ambercutt4.png,,,,,,
perkid_gem_slashward4,Slash Ward IV,+4.75% Slash Damage Absorption. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/moonstonecutt4.png,,,,,,
perkid_gem_strikeward4,Strike Ward IV,+5% Strike Damage Absorption. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/jaspercutt4.png,,,,,,
perkid_gem_thrustward4,Thrust Ward IV,+5% Thrust Damage Absorption. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/emeraldcutt4.png,,,,,,
perkid_gem_physicalward4,Physical Ward IV,+2.5% Physical Damage Absorption. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/onyxcutt4.png,,,,,,
perkid_gem_wildernessward4,Wilderness Ward IV,1.875% Physical and +0.625% Elemental Damage Absorption. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/diamondcutt4.png,,,,,,
perkid_gem_elementalward4,Elemental Ward IV,+2.5% Elemental Damage Absorption. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/opalcutt4.png,,,,,,
perkid_gem_spectralward4,Spectral Ward IV,+1.875% Elemental and +0.625% Physical Damage Absorption. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/malachitecutt4.png,,,,,,
perkid_gem_chitinpadding,Acid Resistance,+12 Acid affliction Resistance. Acid Resistance decreases 15% slower. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/chitinarmorpadding.png,,,,,,
perkid_gem_plaguedweapongem4,Plagued IV,"Basic attacks inflict a stack of disease, reducing targets incoming healing by 2.5% and outgoing by 1.25% per stack for 3s (Max 10 Stacks). (Note: Actual values may scale with Gear Score.)",,https://nwdb.info/images/icons/items/resource/jadecutt4.png,,,,,,
perkid_gem_plaguedarmorgem4,Plagued Ward IV,${-6.25}% Disease status effect duration,,https://nwdb.info/images/icons/items/resource/jadecutt4.png,,,,,,
perkid_gem_armorpenweapongem4,Penetrating IV,+12% Armor Penetration. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/turquoisecutt4.png,,,,,,
perkid_gem_armorincarmorgem4,Hardened IV,+3% Physical and Elemental Armor. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/turquoisecutt4.png,,,,,,
perkid_gem_voiddmg3,Abyssal III,"Convert 50% of damage dealt to Void. If INT is higher, replace weapon scaling with INT, but at 65% scaling. (Note: Actual values may scale with Gear Score.)",,https://nwdb.info/images/icons/items/resource/amethystcutt3.png,,,,,,
perkid_gem_lightningdmg3,Electrified III,"Convert 50% of damage dealt to Lightning. If INT is higher, replace weapon scaling with INT, but at 65% scaling. (Note: Actual values may scale with Gear Score.)",,https://nwdb.info/images/icons/items/resource/topazcutt3.png,,,,,,
perkid_gem_arcanedmg3,Empowered III,"Convert 50% of damage dealt to Arcane. If FOC is higher, replace weapon scaling with FOC, but at 55% scaling. (Note: Actual values may scale with Gear Score.)",,https://nwdb.info/images/icons/items/resource/sapphirecutt3.png,,,,,,
perkid_gem_firedmg3,Ignited III,"Convert 50% of damage dealt to Fire. If INT is higher, replace weapon scaling with INT, but at 65% scaling. (Note: Actual values may scale with Gear Score.)",,https://nwdb.info/images/icons/items/resource/rubycutt3.png,,,,,,
perkid_gem_icedmg3,Frozen III,"Convert 50% of damage dealt to Ice. If INT is higher, replace weapon scaling with INT, but at 65% scaling. (Note: Actual values may scale with Gear Score.)",,https://nwdb.info/images/icons/items/resource/aquamarinecutt3.png,,,,,,
perkid_gem_naturedmg3,Arboreal III,"Convert 50% of damage dealt to Nature. If FOC is higher, replace weapon scaling with FOC, but at 55% scaling. (Note: Actual values may scale with Gear Score.)",,https://nwdb.info/images/icons/items/resource/ambercutt3.png,,,,,,
perkid_gem_brashgem3,Brash III,+18% damage against targets above 70% health. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/onyxcutt3.png,,,,,,
perkid_gem_opportunistgem3,Opportunist III,+13% damage against and +3.5000000000000004% healing to targets below 50% Health. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/emeraldcutt3.png,,,,,,
perkid_gem_retaliategem3,Retaliate III,Gain a stack of +6% damage for 5s after blocking or taking a hit (Max 3 stacks). (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/jaspercutt3.png,,,,,,
perkid_gem_exhilarategem3,Exhilarate III,+17% damage while all of your active weapon abilities are on cooldown. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/moonstonecutt3.png,,,,,,
perkid_gem_cruelgem3,Cruel III,"+12% damage against targets affected by Crowd Control effects (Slow, Stun, Root). (Note: Actual values may scale with Gear Score.)",,https://nwdb.info/images/icons/items/resource/malachitecutt3.png,,,,,,
perkid_gem_gambitgem3,Gambit III,+9% damage while your Stamina is not full. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/opalcutt3.png,,,,,,
perkid_gem_rallygem3,Rally III,+12% damage and outgoing healing while at full Health. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/diamondcutt3.png,,,,,,
perkid_gem_abyssalward3,Abyssal Ward III,+5% Void Damage Absorption. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/amethystcutt3.png,,,,,,
perkid_gem_fireward3,Fire Ward III,+5% Fire Damage Absorption. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/rubycutt3.png,,,,,,
perkid_gem_lightningward3,Lightning Ward III,+5% Lightning Damage Absorption. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/topazcutt3.png,,,,,,
perkid_gem_arcaneward3,Arcane Ward III,+5% Arcane Damage Absorption. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/sapphirecutt3.png,,,,,,
perkid_gem_iceward3,Ice Ward III,+5% Ice Damage Absorption. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/aquamarinecutt3.png,,,,,,
perkid_gem_natureward3,Nature Ward III,+5% Nature Damage Absorption. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/ambercutt3.png,,,,,,
perkid_gem_slashward3,Slash Ward III,+3.75% Slash Damage Absorption. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/moonstonecutt3.png,,,,,,
perkid_gem_strikeward3,Strike Ward III,+4% Strike Damage Absorption. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/jaspercutt3.png,,,,,,
perkid_gem_thrustward3,Thrust Ward III,+4% Thrust Damage Absorption. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/emeraldcutt3.png,,,,,,
perkid_gem_physicalward3,Physical Ward III,+2% Physical Damage Absorption. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/onyxcutt3.png,,,,,,
perkid_gem_wildernessward3,Wilderness Ward III,+1.5% Physical and +0.5% Elemental Damage Absorption. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/diamondcutt3.png,,,,,,
perkid_gem_elementalward3,Elemental Ward III,+2% Elemental Damage Absorption. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/opalcutt3.png,,,,,,
perkid_gem_spectralward3,Spectral Ward III,+1.5% Elemental and +0.5% Physical Damage Absorption. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/malachitecutt3.png,,,,,,
perkid_gem_plaguedweapongem3,Plagued III,"Basic attacks inflict a stack of disease, reducing targets incoming healing by 2% and outgoing by 1% per stack for 3s (Max 10 Stacks). (Note: Actual values may scale with Gear Score.)",,https://nwdb.info/images/icons/items/resource/jadecutt3.png,,,,,,
perkid_gem_plaguedarmorgem3,Plagued Ward III,${-5}% Disease status effect duration,,https://nwdb.info/images/icons/items/resource/jadecutt3.png,,,,,,
perkid_gem_armorpenweapongem3,Penetrating III,+10% Armor Penetration. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/turquoisecutt3.png,,,,,,
perkid_gem_armorincarmorgem3,Hardened III,+2% Physical and Elemental Armor. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/turquoisecutt3.png,,,,,,
perkid_gem_voiddmg2,Abyssal II,"Convert 50% of damage dealt to Void. If INT is higher, replace weapon scaling with INT, but at 55% scaling. (Note: Actual values may scale with Gear Score.)",,https://nwdb.info/images/icons/items/resource/amethystcutt2.png,,,,,,
perkid_gem_lightningdmg2,Electrified II,"Convert 50% of damage dealt to Lightning. If INT is higher, replace weapon scaling with INT, but at 55% scaling. (Note: Actual values may scale with Gear Score.)",,https://nwdb.info/images/icons/items/resource/topazcutt2.png,,,,,,
perkid_gem_arcanedmg2,Empowered II,"Convert 50% of damage dealt to Arcane. If FOC is higher, replace weapon scaling with FOC, but at 45% scaling. (Note: Actual values may scale with Gear Score.)",,https://nwdb.info/images/icons/items/resource/sapphirecutt2.png,,,,,,
perkid_gem_firedmg2,Ignited II,"Convert 50% of damage dealt to Fire. If INT is higher, replace weapon scaling with INT, but at 55% scaling. (Note: Actual values may scale with Gear Score.)",,https://nwdb.info/images/icons/items/resource/rubycutt2.png,,,,,,
perkid_gem_icedmg2,Frozen II,"Convert 50% of damage dealt to Ice. If INT is higher, replace weapon scaling with INT, but at 55% scaling. (Note: Actual values may scale with Gear Score.)",,https://nwdb.info/images/icons/items/resource/aquamarinecutt2.png,,,,,,
perkid_gem_naturedmg2,Arboreal II,"Convert 50% of damage dealt to Nature. If FOC is higher, replace weapon scaling with FOC, but at 45% scaling. (Note: Actual values may scale with Gear Score.)",,https://nwdb.info/images/icons/items/resource/ambercutt2.png,,,,,,
perkid_gem_brashgem2,Brash II,+15% damage against targets above 70% health. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/onyxcutt2.png,,,,,,
perkid_gem_opportunistgem2,Opportunist II,+10% damage against and +2% healing to targets below 50% Health. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/emeraldcutt2.png,,,,,,
perkid_gem_retaliategem2,Retaliate II,Gain a stack of +4% damage for 5s after blocking or taking a hit (Max 3 stacks). (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/jaspercutt2.png,,,,,,
perkid_gem_exhilarategem2,Exhilarate II,+14.000000000000002% damage while all of your active weapon abilities are on cooldown. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/moonstonecutt2.png,,,,,,
perkid_gem_cruelgem2,Cruel II,"+10% damage against targets affected by Crowd Control effects (Slow, Stun, Root). (Note: Actual values may scale with Gear Score.)",,https://nwdb.info/images/icons/items/resource/malachitecutt2.png,,,,,,
perkid_gem_gambitgem2,Gambit II,+6% damage while your Stamina is not full. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/opalcutt2.png,,,,,,
perkid_gem_rallygem2,Rally II,+9% damage and outgoing healing while at full Health. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/diamondcutt2.png,,,,,,
perkid_gem_abyssalward2,Abyssal Ward II,+3.5000000000000004% Void Damage Absorption. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/amethystcutt2.png,,,,,,
perkid_gem_fireward2,Fire Ward II,+4% Fire Damage Absorption. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/rubycutt2.png,,,,,,
perkid_gem_lightningward2,Lightning Ward II,+4% Lightning Damage Absorption. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/topazcutt2.png,,,,,,
perkid_gem_arcaneward2,Arcane Ward II,+4% Arcane Damage Absorption. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/sapphirecutt2.png,,,,,,
perkid_gem_iceward2,Ice Ward II,+4% Ice Damage Absorption. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/aquamarinecutt2.png,,,,,,
perkid_gem_natureward2,Nature Ward II,+4% Nature Damage Absorption. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/ambercutt2.png,,,,,,
perkid_gem_slashward2,Slash Ward II,+2.75% Slash Damage Absorption. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/moonstonecutt2.png,,,,,,
perkid_gem_strikeward2,Strike Ward II,+3% Strike Damage Absorption. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/jaspercutt2.png,,,,,,
perkid_gem_thrustward2,Thrust Ward II,+3% Thrust Damage Absorption. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/emeraldcutt2.png,,,,,,
perkid_gem_physicalward2,Physical Ward II,+1.5% Physical Damage Absorption. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/onyxcutt2.png,,,,,,
perkid_gem_wildernessward2,Wilderness Ward II,+1.125% Physical and +0.375% Elemental Damage Absorption. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/diamondcutt2.png,,,,,,
perkid_gem_elementalward2,Elemental Ward II,+1.5% Elemental Damage Absorption. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/opalcutt2.png,,,,,,
perkid_gem_spectralward2,Spectral Ward II,+1.125% Elemental and +0.375% Physical Damage Absorption. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/malachitecutt2.png,,,,,,
perkid_gem_plaguedweapongem2,Plagued II,"Basic attacks inflict a stack of disease, reducing targets incoming healing by 1.5% and outgoing by 0.75% per stack for 3s (Max 10 Stacks). (Note: Actual values may scale with Gear Score.)",,https://nwdb.info/images/icons/items/resource/jadecutt2.png,,,,,,
perkid_gem_plaguedarmorgem2,Plagued Ward II,${-3.5000000000000004}% Disease status effect duration,,https://nwdb.info/images/icons/items/resource/jadecutt2.png,,,,,,
perkid_gem_armorpenweapongem2,Penetrating II,+8% Armor Penetration. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/turquoisecutt2.png,,,,,,
perkid_gem_armorincarmorgem2,Hardened II,+1.5% Physical and Elemental Armor. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/turquoisecutt2.png,,,,,,
perkid_gem_voiddmg1,Abyssal I,"Convert 50% of damage dealt to Void. If INT is higher, replace weapon scaling with INT, but at 45% scaling. (Note: Actual values may scale with Gear Score.)",,https://nwdb.info/images/icons/items/resource/amethystcutt1.png,,,,,,
perkid_gem_lightningdmg1,Electrified I,"Convert 50% of damage dealt to Lightning. If INT is higher, replace weapon scaling with INT, but at 45% scaling. (Note: Actual values may scale with Gear Score.)",,https://nwdb.info/images/icons/items/resource/topazcutt1.png,,,,,,
perkid_gem_arcanedmg1,Empowered I,"Convert 50% of damage dealt to Arcane. If FOC is higher, replace weapon scaling with FOC, but at 35% scaling. (Note: Actual values may scale with Gear Score.)",,https://nwdb.info/images/icons/items/resource/sapphirecutt1.png,,,,,,
perkid_gem_firedmg1,Ignited I,"Convert 50% of damage dealt to Fire. If INT is higher, replace weapon scaling with INT, but at 45% scaling. (Note: Actual values may scale with Gear Score.)",,https://nwdb.info/images/icons/items/resource/rubycutt1.png,,,,,,
perkid_gem_icedmg1,Frozen I,"Convert 50% of damage dealt to Ice. If INT is higher, replace weapon scaling with INT, but at 45% scaling. (Note: Actual values may scale with Gear Score.)",,https://nwdb.info/images/icons/items/resource/aquamarinecutt1.png,,,,,,
perkid_gem_naturedmg1,Arboreal I,"Convert 50% of damage dealt to Nature. If FOC is higher, replace weapon scaling with FOC, but at 35% scaling. (Note: Actual values may scale with Gear Score.)",,https://nwdb.info/images/icons/items/resource/ambercutt1.png,,,,,,
perkid_gem_brashgem1,Brash I,+12% damage against targets above 70% health. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/onyxcutt1.png,,,,,,
perkid_gem_opportunistgem1,Opportunist I,+7.000000000000001% damage against and +1% healing to targets below 50% Health. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/emeraldcutt1.png,,,,,,
perkid_gem_retaliategem1,Retaliate I,Gain a stack of +3% damage for 5s after blocking or taking a hit (Max 3 stacks). (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/jaspercutt1.png,,,,,,
perkid_gem_exhilarategem1,Exhilarate I,+11% damage while all of your active weapon abilities are on cooldown. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/moonstonecutt1.png,,,,,,
perkid_gem_cruelgem1,Cruel I,"+8% damage against targets affected by Crowd Control effects (Slow, Stun, Root). (Note: Actual values may scale with Gear Score.)",,https://nwdb.info/images/icons/items/resource/malachitecutt1.png,,,,,,
perkid_gem_gambitgem1,Gambit I,+4% damage while your Stamina is not full. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/opalcutt1.png,,,,,,
perkid_gem_rallygem1,Rally I,+6% damage and outgoing healing while at full Health. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/diamondcutt1.png,,,,,,
perkid_gem_abyssalward1,Abyssal Ward I,+2.5% Void Damage Absorption. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/amethystcutt1.png,,,,,,
perkid_gem_fireward1,Fire Ward I,+3% Fire Damage Absorption. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/rubycutt1.png,,,,,,
perkid_gem_lightningward1,Lightning Ward I,+3% Lightning Damage Absorption. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/topazcutt1.png,,,,,,
perkid_gem_arcaneward1,Arcane Ward I,+3% Arcane Damage Absorption. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/sapphirecutt1.png,,,,,,
perkid_gem_iceward1,Ice Ward I,+3% Ice Damage Absorption. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/aquamarinecutt1.png,,,,,,
perkid_gem_natureward1,Nature Ward I,+3% Nature Damage Absorption. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/ambercutt1.png,,,,,,
perkid_gem_slashward1,Slash Ward I,+1.7500000000000002% Slash Damage Absorption. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/moonstonecutt1.png,,,,,,
perkid_gem_strikeward1,Strike Ward I,+2% Strike Damage Absorption. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/jaspercutt1.png,,,,,,
perkid_gem_thrustward1,Thrust Ward I,+2% Thrust Damage Absorption. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/emeraldcutt1.png,,,,,,
perkid_gem_physicalward1,Physical Ward I,+1% Physical Damage Absorption. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/onyxcutt1.png,,,,,,
perkid_gem_wildernessward1,Wilderness Ward I,+0.75% Physical and +0.25% Elemental Damage Absorption. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/diamondcutt1.png,,,,,,
perkid_gem_elementalward1,Elemental Ward I,+1% Elemental Damage Absorption. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/opalcutt1.png,,,,,,
perkid_gem_spectralward1,Spectral Ward I,+0.75% Elemental and +0.25% Physical Damage Absorption. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/malachitecutt1.png,,,,,,
perkid_gem_plaguedweapongem1,Plagued I,"Basic attacks inflict a stack of disease, reducing targets incoming healing by 1% and outgoing by 0.5% per stack for 3s (Max 10 Stacks). (Note: Actual values may scale with Gear Score.)",,https://nwdb.info/images/icons/items/resource/jadecutt1.png,,,,,,
perkid_gem_plaguedarmorgem1,Plagued Ward I,${-2.5}% Disease status effect duration,,https://nwdb.info/images/icons/items/resource/jadecutt1.png,,,,,,
perkid_gem_armorpenweapongem1,Penetrating I,+5% Armor Penetration. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/turquoisecutt1.png,,,,,,
perkid_gem_armorincarmorgem1,Hardened I,+1% Physical and Elemental Armor. (Note: Actual values may scale with Gear Score.),,https://nwdb.info/images/icons/items/resource/turquoisecutt1.png,,,,,,
perkid_stat_armorartificer,Artificer Armor Attributes,Increases Focus and Dexterity on an armor piece.,,https://nwdb.info/images/icons/misc/icon_attribute_arrow.png,,,,,,
perkid_stat_armorassassin,Assassin Armor Attributes,Increases Dexterity and Intelligence on an armor piece.,,https://nwdb.info/images/icons/misc/icon_attribute_arrow.png,,,,,,
perkid_stat_armorbarbarian,Barbarian Armor Attributes,Increases Strength and Constitution on an armor piece.,,https://nwdb.info/images/icons/misc/icon_attribute_arrow.png,,,,,,
perkid_stat_armorbattlemage,Battlemage Armor Attributes,Increases Intelligence and Strength on an armor piece.,,https://nwdb.info/images/icons/misc/icon_attribute_arrow.png,,,,,,
perkid_stat_armorbrigand,Brigand Armor Attributes,Increases Dexterity and Constitution on an armor piece.,,https://nwdb.info/images/icons/misc/icon_attribute_arrow.png,,,,,,
perkid_stat_armorcavalier,Cavalier Armor Attributes,Increases Dexterity and Strength on an armor piece.,,https://nwdb.info/images/icons/misc/icon_attribute_arrow.png,,,,,,
perkid_stat_armorcleric,Cleric Armor Attributes,Increases Focus and Constitution on an armor piece.,,https://nwdb.info/images/icons/misc/icon_attribute_arrow.png,,,,,,
perkid_stat_armordruid,Druid Armor Attributes,Increases Constitution and Intelligence on an armor piece.,,https://nwdb.info/images/icons/misc/icon_attribute_arrow.png,,,,,,
perkid_stat_armorduelist,Duelist Armor Attributes,Increases Dexterity and Focus on an armor piece.,,https://nwdb.info/images/icons/misc/icon_attribute_arrow.png,,,,,,
perkid_stat_armorfighter,Fighter Armor Attributes,Increases Strength and Dexterity on an armor piece.,,https://nwdb.info/images/icons/misc/icon_attribute_arrow.png,,,,,,
perkid_stat_armorknight,Knight Armor Attributes,Increases Constitution and Strength on an armor piece.,,https://nwdb.info/images/icons/misc/icon_attribute_arrow.png,,,,,,
perkid_stat_armormage,Mage Armor Attributes,Increases Intelligence and Focus on an armor piece.,,https://nwdb.info/images/icons/misc/icon_attribute_arrow.png,,,,,,
perkid_stat_armormonk,Monk Armor Attributes,Increases Strength and Focus on an armor piece.,,https://nwdb.info/images/icons/misc/icon_attribute_arrow.png,,,,,,
perkid_stat_armornomad,Nomad Armor Attributes,Increases Constitution and Focus on an armor piece.,,https://nwdb.info/images/icons/misc/icon_attribute_arrow.png,,,,,,
perkid_stat_armoroccultist,Occultist Armor Attributes,Increases Intelligence and Constitution on an armor piece.,,https://nwdb.info/images/icons/misc/icon_attribute_arrow.png,,,,,,
perkid_stat_armorpriest,Priest Armor Attributes,Increases Focus and Intelligence on an armor piece.,,https://nwdb.info/images/icons/misc/icon_attribute_arrow.png,,,,,,
perkid_stat_armorranger,Ranger Armor Attributes,Increases Dexterity attribute on an armor piece.,,https://nwdb.info/images/icons/misc/icon_attribute_arrow.png,,,,,,
perkid_stat_armorsage,Sage Armor Attributes,Increases Focus attribute on an armor piece.,,https://nwdb.info/images/icons/misc/icon_attribute_arrow.png,,,,,,
